"headset_type","callbeginuct_dttm","data_location","problem_type","node","location"
Wired,"2019-05-07 19:03:45.043",Office,Ghost Call,"9",MINNEAPOLIS- MN
Wired,"2019-05-07 19:00:09.147",At home,Ghost Call,"9",MINNEAPOLIS- MN
Wired,"2019-05-07 19:09:39.987",At home,Ghost Call,"9",MINNEAPOLIS- MN
Wired,"2019-05-07 19:40:52.783",At home,Ghost Call,"6",MINNEAPOLIS- MN
Wired,"2019-05-07 19:59:11.0",At home,Ghost Call,"2",MINNEAPOLIS- MN
Wired,"2019-05-07 19:24:22.4",Office,Ghost Call,"19",MINNETONKA- MN
Wired,"2019-05-07 19:04:34.363",At home,Ghost Call,"2",MINNEAPOLIS- MN
Wired,"2019-05-07 19:31:55.923",At home,Call Dropped,"2",MINNEAPOLIS- MN
Wired,"2019-05-07 19:19:45.48",At home,Ghost Call,"11",MINNEAPOLIS- MN
Wired,"2019-05-07 19:36:09.747",At home,Call Dropped,"7",MINNEAPOLIS- MN
Wired,"2019-05-07 19:47:39.423",Office,Call Dropped,"1",MINNEAPOLIS- MN
Wired,"2019-05-07 19:11:16.32",Office,Ghost Call,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:12:28.727",Office,Ghost Call,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:53:27.523",At home,Ghost Call,"3",MINNEAPOLIS- MN
Wired,"2019-05-07 19:40:05.633",At home,Ghost Call,"3",MINNEAPOLIS- MN
Wired,"2019-05-07 19:33:02.637",At home,Ghost Call,"6",MINNEAPOLIS- MN
Wired,"2019-05-07 19:49:04.723",At home,Ghost Call,"6",MINNEAPOLIS- MN
Wired,"2019-05-07 19:32:46.91",At home,Ghost Call,"3",MINNEAPOLIS- MN
Wireless,"2019-05-07 19:17:05.34",At home,Ghost Call,"5",MINNEAPOLIS- MN
Wired,"2019-05-07 19:58:46.4",At home,Ghost Call,"2",MINNEAPOLIS- MN
Wired,"2019-05-07 19:17:58.057",Office,Call Dropped,"7",MARYLAND HEIGHTS- MO
Wired,"2019-05-07 19:16:27.31",At home,Ghost Call,"14",MINNEAPOLIS- MN
Wired,"2019-05-07 19:39:20.16",Office,Call Dropped,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:30:22.243",At home,Ghost Call,"5",MINNEAPOLIS- MN
Wired,"2019-05-07 19:22:22.573",Office,Ghost Call,"14",OLDSMAR- FL
Wired,"2019-05-07 19:01:45.173",At home,Call Dropped,"9",MINNEAPOLIS- MN
Wired,"2019-05-07 19:42:13.837",At home,Ghost Call,"9",MINNEAPOLIS- MN
Wired,"2019-05-07 19:12:46.96",At home,Call Dropped,"5",MINNEAPOLIS- MN
Wired,"2019-05-07 19:59:25.12",Office,Ghost Call,"7",TAGUIG CITY-
Wired,"2019-05-07 19:25:58.087",Office,Ghost Call,"10",MINNEAPOLIS- MN
Wired,"2019-05-07 19:53:56.623",Office,Ghost Call,"10",MINNEAPOLIS- MN
Wired,"2019-05-07 19:05:17.81",Office,Call Dropped,"6",MINNEAPOLIS- MN
Wired,"2019-05-07 19:38:49.787",Office,Ghost Call,"9",ORLANDO- FL
Wired,"2019-05-07 19:05:20.487",Office,Ghost Call,"7",APAS CEBU CITY-
Wired,"2019-05-07 19:06:42.543",Office,Ghost Call,"7",APAS CEBU CITY-
Wired,"2019-05-07 19:07:32.743",Office,Ghost Call,"7",APAS CEBU CITY-
Wired,"2019-05-07 19:12:39.82",Office,Ghost Call,"19",QUEZON CITY-
Wired,"2019-05-07 19:25:34.273",Office,Ghost Call,"9",CEBU CITY-
Wired,"2019-05-07 19:10:44.003",Office,Ghost Call,"1",CHICO- CA
Wired,"2019-05-07 19:54:40.33",Office,Ghost Call,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:55:13.803",Office,Ghost Call,"11",ALABANG-
Wired,"2019-05-07 19:00:37.067",Office,Ghost Call,"8",MINNEAPOLIS- MN
Wired,"2019-05-07 19:00:14.013",Office,Ghost Call,"19",MINNETONKA- MN
Wired,"2019-05-07 19:05:41.737",Office,Call Dropped,"16",APAS CEBU CITY-
Wired,"2019-05-07 19:06:18.443",Office,Ghost Call,"6",CYPRESS- CA
Wired,"2019-05-07 19:08:04.28",Office,Ghost Call,"19",MINNETONKA- MN
Wireless,"2019-05-07 19:27:25.09",Office,Ghost Call,"9",OKLAHOMA CITY- OK
Wired,"2019-05-07 19:16:57.47",At home,Ghost Call,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:23:51.133",At home,Ghost Call,"5",MINNEAPOLIS- MN
Wired,"2019-05-07 19:12:11.873",At home,Call Dropped,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:42:47.823",At home,Ghost Call,"19",MINNEAPOLIS- MN
Wired,"2019-05-07 19:20:02.303",At home,Ghost Call,"5",MINNEAPOLIS- MN
